manufacturer,model,source_grade,existing_sxm_profile,official_landing_url,findings,gaps,source_manifest,source_files,source_urls
AlphaTheta,CDJ-3000X,ready-for-extraction,False,https://support.alphatheta.com/en-US/articles/49578856455577,MIDI chart pp1–2 diagrams; pp3–4 transmit Note/CC controls and hardware-only exclusions. Owner p98 MIDI/HID DJ-software operation; p105 MIDI channel setting.,"Useful transport/input subset. Chart does not supply a complete host screen/LED receive protocol. Jog values encode signed speed around64, distinct from ordinary relative encoder increments. MIDI and HID operation must remain separate. Owner p99: enter SOURCE > SOFTWARE CONTROL; loading a track from another device exits control mode.",pioneer-alphatheta/manifest.json,pioneer-alphatheta/cdj-3000x/owner-manual.pdf | pioneer-alphatheta/cdj-3000x/midi-implementation.pdf,https://downloads.support.alphatheta.com/manuals/dj-players/CDJ-3000X/CDJ-3000X_DRI1956C_EN_manual.pdf | https://downloads.support.alphatheta.com/software_info/dj-players/CDJ-3000X/CDJ3000X_MIDI_Message_List_En.pdf
AlphaTheta,DDJ-GRV6,ready-for-extraction,False,https://support.alphatheta.com/en-US/articles/37071169629849,"MIDI chart pp.1–4: diagram, channel allocation, transport, mixer, Groove Circuit/FX and pad tables.","Strong documentation; arbitrary deck/Shift/mode routing, paired CCs and colored feedback need adaptation. Browse relative values are explicitly documented. Do not interpret hardware-specific function labels as Traktor assignments.",pioneer-alphatheta/manifest.json,pioneer-alphatheta/ddj-grv6/owner-manual.pdf | pioneer-alphatheta/ddj-grv6/midi-implementation.pdf,https://downloads.support.alphatheta.com/manuals/DDJ_GRV6_DRI1927A_manual.pdf | https://downloads.support.alphatheta.com/software_info/dj-controllers/DDJ-GRV6/DDJ-GRV6_MIDI_Message_List_E1.pdf
AlphaTheta,Euphonia,ready-for-extraction,False,https://downloads.support.alphatheta.com/manuals/euphonia_DRI1891A_manual.pdf,Existing manufacturer owner manual and MIDI message list archived in previous work. Profile implementation deferred by user priority.,"Re-audit exact transmit/receive scope and extract per-control evidence before implementing; this pass reuses archive, not new hardware verification.",../../../XtremeMapping/docs/controllers/euphonia/source-manifest.json,../../../XtremeMapping/docs/controllers/euphonia/sources/euphonia_DRI1891A_manual.pdf | ../../../XtremeMapping/docs/controllers/euphonia/sources/euphonia_MIDI_Message_List_E10.pdf,https://downloads.support.alphatheta.com/manuals/euphonia_DRI1891A_manual.pdf | https://downloads.support.alphatheta.com/software_info/dj-mixers/euphonia/euphonia_MIDI_Message_List_E10.pdf
AlphaTheta,OMNIS-DUO,ready-for-extraction,False,https://support.alphatheta.com/en-US/articles/26559298056217,"MIDI chart p1 diagram; pp2–3 channels, deck/mixer/browse and receive meter/indicator tables.","Suitable documented subset; paired tempo CCs, relative/speed jog behavior and per-deck channels need faithful encoding. Standalone operation does not imply every function can be remotely driven.",pioneer-alphatheta/manifest.json,pioneer-alphatheta/omnis-duo/owner-manual.pdf | pioneer-alphatheta/omnis-duo/midi-implementation.pdf,https://downloads.support.alphatheta.com/manuals/all-in-one-dj-systems/OMNIS-DUO/OMNIS_DUO_DRI1882B_manual.pdf | https://downloads.support.alphatheta.com/software_info/all-in-one-dj-systems/OMNIS-DUO/OMNIS-DUO_MIDI_Message_List_E1.pdf
AlphaTheta,SLAB,partial,False,https://support.alphatheta.com/en-US/articles/52906226059545,"MIDI chart pp1–4: control/pad/touch-strip mappings, page modes, aftertouch and colored receive. PDF p1 E1 encoder-mode row visually reviewed.","Unresolved source conflict: E1 decimal MIDI channel1 but status96 (channel7). Dial/encoder turn values are CW01/CCW41, not two’s-complement. Paired touch strip, poly aftertouch, arbitrary pages and RGB feedback need adaptation; quarantine contradictory row. Both unshifted note16 and shifted note17 show the E1 contradiction. Conservatively partial because this mode-control ambiguity remains, though other isolated rows are extractable.",pioneer-alphatheta/manifest.json,pioneer-alphatheta/slab/owner-manual.pdf | pioneer-alphatheta/slab/midi-implementation.pdf,https://downloads.support.alphatheta.com/manuals/music-production/SLAB/SLAB_DRI1975A_EN_manual.pdf | https://downloads.support.alphatheta.com/midi-mapping/music-production/SLAB/SLAB_MIDI_Message_List_en.pdf
AlphaTheta,XDJ-AZ,ready-for-extraction,False,https://support.alphatheta.com/en-US/articles/37072366390681,MIDI chart pp.1–4: channel matrix and send/receive; hardware-only entries; p4 jog LED/display-related values.,"Standalone controls are not all MIDI controls. Preserve hardware-only exclusions, mode routing and paired CCs; p4 angle-related pairs are not independent 7-bit knobs.",pioneer-alphatheta/manifest.json,pioneer-alphatheta/xdj-az/owner-manual.pdf | pioneer-alphatheta/xdj-az/midi-implementation.pdf,https://downloads.support.alphatheta.com/manuals/all-in-one-dj-systems/XDJ-AZ/XDJ-AZ_DRI1936C_manual_EN.pdf | https://downloads.support.alphatheta.com/software_info/all-in-one-dj-systems/XDJ-AZ/XDJ-AZ_MIDI_Message_List_E1.pdf
Denon DJ,LC6000 PRIME,ready-for-extraction,False,https://www.denondj.com/downloads.html,"Channel 1 Note inputs include Play 0x01, Cue 0x02, pads 0x20–0x27. Relative CC Auto Loop Size 0x03 and Select 0x06. LED note receive map includes dim/full states and pad palette.",Ready only to extract well-defined scalar subset; no claim of implemented readiness.; Jog uses double precision CC 0x37/0x36; pitch 0x08/0x28; do not collapse paired values into independent scalar controls.; Needle Drop double-precision table repeats CC 0x40 for both bytes: unresolved source ambiguity.; Wheel display explicitly requires SysEx; not available via manual MIDI mapping (p6).; Color table p7–9 decimal column is offset from hexadecimal (e.g. 1 vs 0x00 OFF); requires source/hardware resolution before palette import.,inmusic/manifest.json,inmusic/lc6000/LC6000_PRIME_-_User_Guide_-_v1.4.pdf | inmusic/lc6000/LC6000-PRIME-MIDI-Specification-v1.0.pdf,https://cdn.inmusicbrands.com/engine/LC6000%20PRIME%20-%20User%20Guide%20-%20v1.4.pdf | https://cdn.inmusicbrands.com/denondj/lc6000/LC6000-PRIME-MIDI-Specification-v1.0.pdf
Denon DJ,PRIME 4+,protocol-gap,False,https://www.denondj.com/downloads.html,"Computer Mode sends/receives MIDI; standalone features and control descriptions are operational documentation, not an address map.",No complete manufacturer Note/CC address/channel chart or LED receive protocol was located in acquired documentation. Do not infer from USB MIDI compatibility or Serato mapping.; Separate standalone Engine behavior from computer MIDI mode. No supported HID or proprietary protocol address mapping established.,inmusic/manifest.json,inmusic/denon-shared/PRIME_4_PRIME_4_PRIME_2_PRIME_GO_PRIME_GO_SC_LIVE_4_SC_LIVE_2_-_User_Guide_-_v5.0.0.pdf,https://cdn.inmusicbrands.com/Software/ENDJ5/PRIME%204%2C%20PRIME%204%2B%2C%20PRIME%202%2C%20PRIME%20GO%2C%20PRIME%20GO%2B%2C%20SC%20LIVE%204%2C%20SC%20LIVE%202%20-%20User%20Guide%20-%20v5.0.0.pdf
Denon DJ,PRIME GO+,protocol-gap,False,https://www.denondj.com/downloads.html,"Computer Mode sends/receives MIDI; standalone features and control descriptions are operational documentation, not an address map.",No complete manufacturer Note/CC address/channel chart or LED receive protocol was located in acquired documentation. Do not infer from USB MIDI compatibility or Serato mapping.; Separate standalone Engine behavior from computer MIDI mode. No supported HID or proprietary protocol address mapping established.,inmusic/manifest.json,inmusic/denon-shared/PRIME_4_PRIME_4_PRIME_2_PRIME_GO_PRIME_GO_SC_LIVE_4_SC_LIVE_2_-_User_Guide_-_v5.0.0.pdf,https://cdn.inmusicbrands.com/Software/ENDJ5/PRIME%204%2C%20PRIME%204%2B%2C%20PRIME%202%2C%20PRIME%20GO%2C%20PRIME%20GO%2B%2C%20SC%20LIVE%204%2C%20SC%20LIVE%202%20-%20User%20Guide%20-%20v5.0.0.pdf
Denon DJ,SC LIVE 4,protocol-gap,False,https://www.denondj.com/downloads.html,"Computer Mode sends/receives MIDI; standalone features and control descriptions are operational documentation, not an address map.",No complete manufacturer Note/CC address/channel chart or LED receive protocol was located in acquired documentation. Do not infer from USB MIDI compatibility or Serato mapping.; Separate standalone Engine behavior from computer MIDI mode. No supported HID or proprietary protocol address mapping established.,inmusic/manifest.json,inmusic/denon-shared/PRIME_4_PRIME_4_PRIME_2_PRIME_GO_PRIME_GO_SC_LIVE_4_SC_LIVE_2_-_User_Guide_-_v5.0.0.pdf,https://cdn.inmusicbrands.com/Software/ENDJ5/PRIME%204%2C%20PRIME%204%2B%2C%20PRIME%202%2C%20PRIME%20GO%2C%20PRIME%20GO%2B%2C%20SC%20LIVE%204%2C%20SC%20LIVE%202%20-%20User%20Guide%20-%20v5.0.0.pdf
Denon DJ,SC6000 PRIME,protocol-gap,False,https://www.denondj.com/downloads.html,USB computer connection and Computer Mode send/receive MIDI; no control address implementation chart found.,No complete manufacturer Note/CC address/channel chart or LED receive protocol was located in acquired documentation. Do not infer from USB MIDI compatibility or Serato mapping.; Jog precision and display feedback cannot be inferred from documented USB MIDI transport.,inmusic/manifest.json,inmusic/denon-shared/SC6000_PRIME_SC6000M_PRIME_SC5000_PRIME_SC5000M_PRIME_-_User_Guide_-_v5.0.0.pdf,https://cdn.inmusicbrands.com/Software/ENDJ5/SC6000%20PRIME%2C%20SC6000M%20PRIME%2C%20SC5000%20PRIME%2C%20SC5000M%20PRIME%20-%20User%20Guide%20-%20v5.0.0.pdf
Denon DJ,X1850 PRIME,protocol-gap,False,https://www.denondj.com/downloads.html,Utility MIDI menu separately enables Clock Send and Active Send per USB/DIN destination. Start/Stop button sends MIDI transport.,"No complete manufacturer Note/CC address/channel chart or LED receive protocol was located in acquired documentation. Do not infer from USB MIDI compatibility or Serato mapping.; Clock and transport are system messages, outside scalar Note/CC profile mapping.",inmusic/manifest.json,inmusic/x1850/X1850_PRIME_-_User_Guide_-_v1.4.pdf,https://cdn.inmusicbrands.com/denondj/X1850Prime/X1850 PRIME - User Guide - v1.4.pdf
DJ TechTools,Midi Fighter 3D,partial,False,https://djtechtools.com/midi-fighter-setup/,"User/MIDI guide pp.2-8,12; bank tables pp.14-17; motion chart p.18 visually inspected, animation p.19.",Source p.18 Edge Tilt table visibly contradicts p.7 CC0-7 prose (table contains note names and40/39/38/43). Channel nomenclature must be verified; quarantine conflicting motion rows rather than guess.,performance/manifest.json,performance/midi-fighter-3d/owner-and-midi-guide.pdf,https://drive.google.com/uc?export=download&id=0B-QvIds_FsH3OHhuZlpzVkM2QjQ
DJ TechTools,Midi Fighter Twister,partial,False,https://djtechtools.com/midi-fighter-setup/,"User/MIDI guide pp.2-8,14-16; default bank tables pp.17-24 and animation/color appendices.",Mixed channel numbering conventions across source sections require normalization by section and hardware verification; some earlier text still refers to four banks. Ready subset: default encoder/switch address tables with explicit zero-based convention.,performance/manifest.json,performance/midi-fighter-twister/owner-and-midi-guide.pdf,https://drive.google.com/uc?export=download&id=0B-QvIds_FsH3Z0ZLT041VnZfOTA
Faderfox,EC4,partial,False,https://www.faderfox.de/ec4.html,Owner/MIDI manual pp.6-7 feedback and special commands; pp.11-13 command/channel/address modes; p.15 factory table visually inspected.,"Original p.15 factory table extends beyond right page edge (visually verified), so do not silently repair clipped values. Special fixed SysEx description not linked by discovered current page. Ready subset: readable factory group ranges; full map requires resolving clipped table and special controls.",performance/manifest.json,performance/faderfox-ec4/owner-and-midi-guide.pdf,https://www.faderfox.de/PDF/EC4%20Manual%20V03.PDF
Faderfox,UC4,ready-for-extraction,False,https://www.faderfox.de/uc4.html,"Owner/MIDI manual pp.6,8-10 control modes, feedback and command configuration; p.13 factory tables visually inspected.","Source-ready for explicit generic factory setup subset. More than3 groups, special setups and configurable per-control channels require schema choices. CCr2 is binary-offset rather than twos-complement; highres CC/pitchbend/pressure are unsupported by current app.",performance/manifest.json,performance/faderfox-uc4/owner-and-midi-guide.pdf,https://www.faderfox.de/PDF/UC4%20Manual%20V03.PDF
Hercules,DJControl Inpulse 200 MK2,partial,False,https://support.hercules.com/en/product/djcontrolinpulse200mk2-en/,Official user manual/control descriptions archived; no complete manufacturer wire-address/LED chart found in the retrieved support resources. Software action mappings do not prove Note/CC values.,,ni-hercules-ah/djcontrolinpulse200mk2/manifest.json,ni-hercules-ah/djcontrolinpulse200mk2/support.html | ni-hercules-ah/djcontrolinpulse200mk2/manual.pdf | ni-hercules-ah/djcontrolinpulse200mk2/djuced-midi.html | ni-hercules-ah/djcontrolinpulse200mk2/djuced-midi.html,https://support.hercules.com/en/product/djcontrolinpulse200mk2-en/ | https://ts.hercules.com/download/sound/manuals/DJC_Inpulse_200_MK2/DJControl_Inpulse_200_MK2_User_Manual_-_21L.pdf | https://www.djuced.com/kb/hercules-djcontrol-inpulse-200-mk2-2023-mapping-and-manual/ | https://www.djuced.com/kb/hercules-djcontrol-inpulse-200-mk2-2023-manuel-et-controles-midi/
Hercules,DJControl Inpulse 200 MK3,partial,False,https://support.hercules.com/en/product/djcontrolinpulse200mk3-en/,Official user manual/control descriptions archived; no complete manufacturer wire-address/LED chart found in the retrieved support resources. Software action mappings do not prove Note/CC values. Added as a current-generation supplement discovered on current official support; retained MK2 as explicitly requested legacy model.,,ni-hercules-ah/djcontrolinpulse200mk3/manifest.json,ni-hercules-ah/djcontrolinpulse200mk3/support.html | ni-hercules-ah/djcontrolinpulse200mk3/manual.pdf,https://support.hercules.com/en/product/djcontrolinpulse200mk3-en/ | https://ts.hercules.com/download/sound/manuals/DJC_Inpulse_200_MK3/DJControl_Inpulse_200_MK3_User_Manual_-_21_Languages.pdf
Hercules,DJControl Inpulse 300 MK2,partial,False,https://support.hercules.com/en/product/djcontrolinpulse300mk2-en/,Official user manual/control descriptions archived; no complete manufacturer wire-address/LED chart found in the retrieved support resources. Software action mappings do not prove Note/CC values.,,ni-hercules-ah/djcontrolinpulse300mk2/manifest.json,ni-hercules-ah/djcontrolinpulse300mk2/support.html | ni-hercules-ah/djcontrolinpulse300mk2/manual.pdf | ni-hercules-ah/djcontrolinpulse300mk2/djuced-midi.html | ni-hercules-ah/djcontrolinpulse300mk2/djuced-midi.html,https://support.hercules.com/en/product/djcontrolinpulse300mk2-en/ | https://ts.hercules.com/download/sound/manuals/DJC_Inpulse_300_MK2/HERCULES_DJC_INPULSE_300MK2_-_USER_MANUAL_21_LANGUAGES.pdf | https://www.djuced.com/kb/hercules-djcontrol-inpulse-300-mk2-2023-mapping-and-manual/ | https://www.djuced.com/kb/hercules-djcontrol-inpulse-300-mk2-2023-manuel-et-controles-midi/
Hercules,DJControl Inpulse 500,ready-for-extraction,False,https://support.hercules.com/en/product/djcontrolinpulse500-en/,"Detailed official 14-page MIDI chart has Note/CC bytes, Shift and pad modes, relative encoders, paired MSB/LSB tempo and LED colors. Ready means extraction may begin; source anomalies require a review queue.",,ni-hercules-ah/djcontrolinpulse500/manifest.json,ni-hercules-ah/djcontrolinpulse500/support.html | ni-hercules-ah/djcontrolinpulse500/midi.pdf | ni-hercules-ah/djcontrolinpulse500/manual.pdf | ni-hercules-ah/djcontrolinpulse500/djuced-midi.html | ni-hercules-ah/djcontrolinpulse500/djuced-midi.html,https://support.hercules.com/en/product/djcontrolinpulse500-en/ | https://ts.hercules.com/download/sound/manuals/DJC_Inpulse500/DJControlInpulse500_MIDI_Commands.pdf | https://ts.hercules.com/download/sound/manuals/DJC_Inpulse500/DJControl_Inpulse_500_User_Manual.pdf | https://www.djuced.com/kb/hercules-djcontrol-inpulse-500/ | https://www.djuced.com/kb/hercules-djcontrol-inpulse-500-manuel-et-controles-midi/
Hercules,DJControl Inpulse T7 / T7 Premium,partial,False,https://support.hercules.com/en/product/djcontrolinpulset7-en/,Official user manual/control descriptions archived; no complete manufacturer wire-address/LED chart found in the retrieved support resources. Software action mappings do not prove Note/CC values.,,ni-hercules-ah/djcontrolinpulset7/manifest.json,ni-hercules-ah/djcontrolinpulset7/support.html | ni-hercules-ah/djcontrolinpulset7/manual.pdf | ni-hercules-ah/djcontrolinpulset7/djuced-midi.html | ni-hercules-ah/djcontrolinpulset7/djuced-midi.html,https://support.hercules.com/en/product/djcontrolinpulset7-en/ | https://ts.hercules.com/download/sound/manuals/DJC_Inpulse_T7/DJC_INPULSE_T7_&_PREMIUM_USER_MANUAL_EN_FR_DE_DU_IT_ES_PT_RU_CS_TU_PL_SV_FI_SL_HU_AR_HE_AR_JP_ZH_KO.pdf | https://www.djuced.com/kb/hercules-djcontrol-inpulse-t7-mapping-and-manual/ | https://www.djuced.com/kb/hercules-djcontrol-inpulse-t7-manuel-et-controles-midi/
Hercules,DJControl Starlight,partial,False,https://support.hercules.com/en/product/djcontrolstarlight-en/,Official user manual/control descriptions archived; no complete manufacturer wire-address/LED chart found in the retrieved support resources. Software action mappings do not prove Note/CC values.,,ni-hercules-ah/djcontrolstarlight/manifest.json,ni-hercules-ah/djcontrolstarlight/support.html | ni-hercules-ah/djcontrolstarlight/manual.pdf,https://support.hercules.com/en/product/djcontrolstarlight-en/ | https://ts.hercules.com/download/sound/manuals/DJC_Starlight/How_To_Use_Hercules_DJControl_Starlight_-_En_Fr_De_Nl_It_Es_Pr_Ru_Cz_Tr_Pl_Zh_Ko_Ar.pdf
Korg,nanoKONTROL2,partial,False,https://www.korg.com/us/support/download/product/0/159/,"Parameter guide pp.4-9 CC mode and external LEDs; full MIDI Implementation revision1.00 sections1-4, especially339-byte scene parameter layout and Native KORG LED commands; one-page capability chart and owner manual inspected.",Protocol is detailed but full default control-number map still requires editor scene export or hardware capture. DAW modes can output pitchbend and use different protocols; do not treat capability chart as complete map.,performance/manifest.json,performance/korg-nanokontrol2/midi-implementation.txt | performance/korg-nanokontrol2/midi-chart.pdf | performance/korg-nanokontrol2/owner-guide.pdf | performance/korg-nanokontrol2/parameter-guide.pdf,https://cdn.korg.com/us/support/download/files/aeb2862daf0cb7db826d8c62f51ec28d.txt?response-content-disposition=attachment%3Bfilename%2A%3DUTF-8%27%27nanoKONTROL2_MIDIimp.txt&response-content-type=application%2Foctet-stream%3B | https://cdn.korg.com/us/support/download/files/902f10b95c3bac3b52113b0d8799a9e7.pdf?response-content-disposition=inline%3Bfilename%2A%3DUTF-8%27%27nanoKONTROL2_MIDI_Chart_E1.pdf&response-content-type=application%2Fpdf%3B | https://cdn.korg.com/us/support/download/files/b61f4da2e9b32e7825edc729e7d71a0d.pdf?response-content-disposition=inline%3Bfilename%2A%3DUTF-8%27%27nanoKONTROL2_OM_EFGSCJ2.pdf&response-content-type=application%2Fpdf%3B | https://cdn.korg.com/us/support/download/files/c8d0cd6808e12d3672845cadcdbbfe9b.pdf?response-content-disposition=inline%3Bfilename%2A%3DUTF-8%27%27nanoKONTROL2_PG_E1.pdf&response-content-type=application%2Fpdf%3B
Native Instruments,Traktor Kontrol F1,partial,False,https://docs.native-instruments.com/pdf-guides/traktor/traktor_kontrol_f1_manual_english.pdf,MIDI mode and configurable Controller Editor behavior documented. Ordinary MIDI requires the MIDI Mode preference; default User Map uses proprietary NHL. Need a pinned/exported Controller Editor template before assigning concrete addresses.,,ni-hercules-ah/f1/manifest.json,ni-hercules-ah/f1/manual.pdf | ni-hercules-ah/f1/controller-editor.pdf,https://docs.native-instruments.com/pdf-guides/traktor/traktor_kontrol_f1_manual_english.pdf | https://www.native-instruments.com/fileadmin/ni_media/downloads/manuals/Controller_Editor_Manual_English_2017_11.pdf
Native Instruments,Traktor Kontrol S2 MK3,partial,False,https://docs.native-instruments.com/pdf-guides/traktor/TRAKTOR_KONTROL_S2_MK3_Manual_English_1218.pdf,"Official support confirms fixed firmware MIDI mode: hold left FLX while connecting, disconnect to exit. Manual lacks control-address chart; do not apply S2 MK2 addresses.",,ni-hercules-ah/s2-mk3/manifest.json,ni-hercules-ah/s2-mk3/manual.pdf | ni-hercules-ah/shared/ni-midi-mode.html,https://docs.native-instruments.com/pdf-guides/traktor/TRAKTOR_KONTROL_S2_MK3_Manual_English_1218.pdf | https://support.native-instruments.com/support/solutions/articles/69000880031-native-instruments-switching-your-controller-to-midi-mode
Native Instruments,Traktor Kontrol S3,partial,False,https://docs.native-instruments.com/pdf-guides/traktor/TRAKTOR_KONTROL_S3_MK1_Manual_English_0120.pdf,"Official support confirms fixed firmware MIDI mode: hold left FLX while connecting, disconnect to exit. Manual lacks control-address chart. NI staff distinguishes fixed firmware messages from Controller Editor configuration.",,ni-hercules-ah/s3/manifest.json,ni-hercules-ah/s3/manual.pdf | ni-hercules-ah/shared/ni-midi-mode.html,https://docs.native-instruments.com/pdf-guides/traktor/TRAKTOR_KONTROL_S3_MK1_Manual_English_0120.pdf | https://support.native-instruments.com/support/solutions/articles/69000880031-native-instruments-switching-your-controller-to-midi-mode
